topic,word,child,hand,dove,night,denomination,body,water,scripture,message,wing,sign,snow,love,bird,thirst,soul,deer,desire,dog,light,mother,boy,father,choice,morning,ark,revival,inspiration,eye,husband,faith,alter,channel,king,leader,door,sacrifice,gate,bread,house,daughter,death,wheat,school,earth,germ,voice,blood,hour,nature,leadership,thinking,revelation,teacher,businessman,prophecy,wilderness,group,son,evening,communion,ordinance,order,supper,lamb,baptism,sin,desert,building,street,writer,friend,privilege
0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,,1,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,,,,1,,1,,1,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,1,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,1,1,1,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,1,,,,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
9,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
10,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,
11,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,
12,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,1,1
